frame,person,bbox_xmin,bbox_xmax,bbox_ymin,bbox_ymax,mask_stat,mask_conf,x_world,y_world
0.0,1.0,200.0,481.0,37.0,356.0,1.0,0.9525600671768188,2.497110164112045,-0.002808195444958633
1.0,1.0,200.0,481.0,37.0,356.0,1.0,0.9523100671768189,2.4974761511154933,-0.0030299564631734075
2.0,1.0,200.0,481.0,37.0,356.0,1.0,0.9520600671768189,2.4965253292528535,-0.001792060965589152
3.0,1.0,200.0,481.0,37.0,356.0,1.0,0.9518831968307495,2.496911418937461,-0.004032711583720697
4.0,1.0,200.0,481.0,37.0,356.0,1.0,0.9526498913764954,2.497228324348856,-0.004272274293861161
5.0,1.0,200.0,481.0,37.0,356.0,1.0,0.957425594329834,2.4968754094867767,-0.0032538026016523465
6.0,1.0,200.0,481.0,37.0,356.0,1.0,0.9623239636421204,2.498056621880458,-0.004760907334520924
7.0,1.0,199.0,481.0,37.0,356.0,1.0,0.9642342925071716,2.49820507947987,-0.005403238087874625
8.0,1.0,199.0,481.0,37.0,356.0,1.0,0.964314341545105,2.4976676256579173,-0.004927382926498363
9.0,1.0,199.0,481.0,37.0,356.0,1.0,0.9650894999504089,2.4971680405757004,-0.005116002643057529
10.0,1.0,199.0,481.0,37.0,356.0,1.0,0.964839499950409,2.4964497720393504,-0.004430038396715186
11.0,1.0,199.0,481.0,37.0,356.0,1.0,0.964589499950409,2.4975818242280146,-0.005719915711179927
12.0,1.0,199.0,481.0,37.0,356.0,1.0,0.964339499950409,2.497546249331084,-0.0047439647403182145
13.0,1.0,200.0,481.0,37.0,356.0,1.0,0.964089499950409,2.49921131283294,-0.005575224802352325
14.0,1.0,200.0,481.0,37.0,356.0,1.0,0.9638394999504091,2.49932026554939,-0.005242874917001738
15.0,1.0,200.0,481.0,37.0,356.0,1.0,0.9635894999504091,2.498982681953347,-0.004715651767827655
16.0,1.0,200.0,481.0,37.0,356.0,1.0,0.9633394999504091,2.497127913412575,-0.0027702293921189514
17.0,1.0,200.0,481.0,37.0,356.0,1.0,0.9630894999504092,2.497263943504208,-0.0036853782347683072
18.0,1.0,200.0,481.0,37.0,356.0,1.0,0.9628394999504092,2.4966056294228594,-0.002700779536979083
19.0,1.0,200.0,481.0,37.0,356.0,1.0,0.9625894999504092,2.496471860560611,-0.0017331094950110365
20.0,1.0,200.0,481.0,37.0,356.0,1.0,0.9623394999504092,2.495931174468651,0.0001700623648953328
21.0,1.0,200.0,481.0,37.0,356.0,1.0,0.9620894999504093,2.496281845136858,0.0002739054940555992
22.0,1.0,200.0,481.0,37.0,356.0,1.0,0.9618394999504093,2.495885917912671,0.0019203853465221265
23.0,1.0,200.0,481.0,37.0,356.0,1.0,0.9615894999504093,2.4960649254793412,0.00221316042148448
